kl_list,geneName,mean_val,var_val
0.00456455957499561,MRPL20,1.7395,2.18543975
0.00740021265164517,RPL22,2.4994,3.39099964
0.0179659827884062,PARK7,2.6361,3.36587679
0.01189985499485,ENO1,3.9865,5.58911775
0.00769115317017333,MINOS1,2.0935,2.38555775
0.0426881716201177,RPL11,11.3349,15.15514199
0.00737803249554001,SRRM1,1.8778,2.23786716
0.00157871734820841,SYF2,1.0103,1.29959391
0.0204727057881325,STMN1,2.2529,3.46514159
0.00302301594334576,SH3BGRL3,1.3611,1.94770679
0.0186717035346678,HMGN2,2.9157,4.70579351
0.0266146715652754,NUDC,4.8686,6.43733404
0.0136770732361814,DNAJC8,2.301,2.873799
0.00525608686623562,ATPIF1,3.5979,4.89101559
0.00999813150611483,EIF3I,1.5957,1.98224151
0.00371113495919709,PSMB2,1.7512,2.37949856
0.00434638548114464,UTP11L,1.485,1.988975
0.0140029899244179,NDUFS5,3.4609,4.29007119
0.0220901782079774,YBX1,6.2042,13.00370236
0.00620365909056799,ATP6V0B,0.8411,1.03985079
0.0392797499486683,RPS8,16.1402,21.41674396
0.00904694146193467,PRDX1,4.1017,5.28075711
0.0109815951592824,UQCRH,4.4667,5.56489111
0.00877188145129484,MAGOH,0.9156,1.08187664
0.0303872530784574,SERBP1,3.4476,4.79765424
0.00984888778257004,SRSF11,1.0585,1.32827775
0.00219305255152869,GNG5,2.0471,2.57528159
0.0195322176358632,RPL5,6.7869,9.03388839
0.00330757856594017,DNTTIP2,1.2828,1.47502416
0.028468422535749,ARHGAP29,4.0947,7.68553191
0.0150208375109768,SARS,1.3609,1.77485119
0.00644156501558907,LAMTOR5,1.1357,1.46188551
0.00920571292643546,ATP5F1,0.987,1.202431
0.0183540517996951,RBM8A,2.1867,2.59164311
0.00281541818458742,MRPS21,2.2742,2.64981436
0.00208752484702421,PSMB4,1.4732,1.87988176
0.0128518584370506,S100A11,2.3029,3.10115159
0.0712844865337568,S100A6,6.6605,20.09183975
0.00331079955961236,S100A16,1.8989,2.63367879
0.00159205991478745,ILF2,0.9752,1.08478496
0.0110485480811015,RPS27,3.0985,5.90499775
0.00691579574463257,TPM3,3.0364,3.96407504
0.0102129312645912,KRTCAP2,1.1573,1.61415671
0.00359427892422796,CCT3,2.4527,2.98496271
0.0137658433021654,IFI16,1.0641,1.60399119
0.0212851534652223,PFDN2,2.752,4.232096
0.0098140005355026,TMCO1,1.0466,1.42882844
0.0317138519011541,GAS5,4.0351,6.38946799
0.00866449683988177,CACYBP,4.541,5.935919
0.0127932518285319,SNRPE,2.5763,3.43937831
0.00681075122484572,CNIH4,1.1261,1.34899879
0.00605610766321453,PARP1,1.424,1.752624
0.0128639793786713,ARF1,0.8374,0.92336124
0.00678500615310753,ARID4B,0.8743,1.11069951
0.0214728404249318,HNRNPU,3.5265,5.17549775
0.0165343275211173,GTPBP4,1.5418,2.16085276
0.0114769747555181,RBM17,1.5559,1.99587519
0.00889792803202387,ATP5C1,1.938,2.396956
0.0117664082547709,SFTA1P,2.6788,4.71423056
0.0111795728473057,CDC123,2.1617,2.85175311
0.0060074159567731,KIF5B,1.1811,1.77370279
0.0281041680322675,ITGB1,7.557,15.004351
0.00549286017180366,TFAM,0.9445,1.12821975
0.00954868077607317,DDX21,2.0151,2.56867199
0.0196028683641846,RPS24,9.9587,12.44899431
0.00282012167654468,GHITM,1.4014,1.81587804
0.0117452964605124,BLOC1S2,0.4176,0.52781024
0.0135176607334418,NDUFB8.1,1.286,1.634004
0.0140085089131175,USMG5,3.7354,5.13178684
0.0089446826102367,GSTO1,2.3753,3.43024991
0.00428643726476746,SMNDC1,1.1796,1.59474384
0.00543233732048525,BUB3,1.4114,1.79975004
0.00770728660212658,BCCIP,2.4859,3.47500119
0.00779916021653818,ECHS1,0.9617,1.25123311
0.0128032504196273,IFITM2,2.3346,3.01284284
0.00472093820762977,IFITM3,1.5187,2.18205031
0.0458661726068128,RPLP2,15.1782,19.32244476
0.0280566709203845,POLR2L,5.3865,8.59451775
0.0173205100496784,PHLDA2,1.4692,2.20065136
0.00864927121773318,NAP1L4,0.977,1.235071
0.0238967765625601,RPL27A,12.6953,17.58425791
0.00665416976982634,EIF4G2,0.8489,1.30386879
0.00913183719160301,PSMA1,1.361,1.682079
0.00976019364588813,C11orf58,1.7102,2.22621596
0.0125130481794181,RPS13,9.8085,12.80542775
0.0154650592524797,MDK,0.9756,1.18140464
0.0110675870352007,PSMC3,0.9946,1.32257084
0.00421521189881087,MRPL16,1.0765,1.42584775
0.0105216199535987,TMEM258,2.0709,2.79287319
0.0094281267888045,FTH1,4.6453,8.06708791
0.0185502944440972,EEF1G,2.948,3.820696
0.00872179032380314,COX8A,3.3509,3.80376919
0.0202498735325816,STIP1,1.7701,2.62604599
0.00675491245108171,TRMT112,3.6403,4.70211591
0.0186907921770477,FAU,8.9824,13.66369024
0.0491109683373055,MALAT1,7.9751,28.80187999
0.00687850939954128,CFL1,2.3204,3.02674384
