kl_list,geneName,mean_val,var_val
0.0280701080754958,MRPL15,15.1302,23.94284796
0.0139330941769858,LYPLA1,6.2518,8.84779676
0.0224874123958157,TCEA1,4.7426,6.07314524
0.00821983772339032,ATP6V1H,2.0002,3.18979996
0.0151904945108281,RB1CC1,1.3297,2.00179791
0.0169537865247978,PCMTD1,2.1352,3.79712096
0.030723344983283,RRS1,11.9064,19.63523904
0.0143203929903626,VCPIP1,0.9917,1.39523111
0.0061564588366807,SNHG6,1.4832,2.08651776
0.0285563728029738,COPS5,11.0497,13.54242991
0.0361453643880214,CSPP1,2.5157,3.38135351
0.00583142695892639,PREX2,1.2675,2.28334375
0.0184669335621005,TRAM1,6.1596,9.01352784
0.0135116864414374,LACTB2,6.0753,8.44042991
0.0275278353876322,TERF1,13.6298,30.73415196
0.301932445336323,RPL7,175.8112,445.87055456
0.00257910402886245,UBE2W,1.6456,2.06780064
0.0149293214290169,TCEB1,5.7403,8.09865591
0.00808370053601586,TMEM70,1.4636,2.58267504
0.0323633105446349,MCM3,17.0592,35.58709536
0.0195483265574581,SMAP1,1.3321,1.63720959
0.0761638845806924,PHF3,7.8853,15.19454391
0.0450522278731879,PTP4A1,7.7738,16.59983356
0.00548490995858943,PRIM2,2.3588,3.24406256
0.0271419385395157,RAB23,0.9835,1.36522775
0.0106837304418999,ZFP451,1.0848,1.67640896
0.0399892830970892,DST,5.106,10.298164
0.0138687513965007,CCDC115,3.6374,4.50412124
0.0304768353876243,IMP4,9.7726,12.41268924
0.0108770143844118,FAM168B,2.052,2.605296
0.00487881017829279,UGGT1,1.2807,1.49070751
0.00733844969914217,KANSL3,0.9627,1.28770871
0.00662182137164371,LMAN2L,0.9343,1.27338351
0.0130116919519893,FAM178B,1.3955,2.29867975
0.0173171245690371,COX5B,7.4493,11.35782951
0.025964095230942,ACTR1B,4.9301,6.25921399
0.0115419950793258,COA5,2.7963,3.33540631
0.0120913443554566,UNC50,4.112,5.168656
0.00593483720406815,MITD1,1.3283,1.84651911
0.0074979198809221,MRPL30,4.0946,4.93545084
0.00768612402626673,TXNDC9,8.4249,14.11255999
0.0283919686358118,EIF5B,11.9551,18.03068399
0.00616343106832374,REV1,1.2868,2.60114576
0.0272754411031255,PDCL3,5.7166,6.68768444
0.0847662868595017,RPL31,34.3216,66.50197344
0.00312706828279088,TBC1D8,0.9338,1.51221756
0.0185697662838309,CNOT11,5.4621,7.84616359
0.0101233474517549,RNF149,2.7135,3.45841775
0.0183482457298609,MAP4K4,1.9634,2.88206044
0.0398297946532495,MRPS9,7.6854,9.10102684
0.0100397671473617,UXS1,1.7518,2.46059676
0.0281780943675044,TPP2,2.5391,4.14907119
0.0213112589619346,TEX30,4.0463,5.23155631
0.0174549800031275,WDR75,3.7297,5.01523791
0.00828723636335367,SLC39A10,1.1328,1.36476416
0.0230070477365036,NABP1,1.1377,1.97453871
0.00950381699508713,MYO1B,1.9411,2.89283079
0.00949439818992037,X1700019D03RIK,1.6698,2.13556796
